word,sign,category
hello,👋,greetings
hi,👋,greetings
bye,👋,greetings
goodbye,👋,greetings
welcome,👐,greetings
yes,👍,responses
no,👎,responses
please,🙏,courtesy
thank,🤝,courtesy
thanks,🤝,courtesy
sorry,🙇,courtesy
help,🆘,common
stop,🛑,common
go,🟢,common
good,👍,common
bad,👎,common
love,❤️,emotions
happy,😊,emotions
sad,😢,emotions
angry,😠,emotions
water,💧,food
food,🍲,food
eat,🍽️,food
drink,🥤,food
coffee,☕,food
tea,🍵,food
friend,🧑‍🤝‍🧑,people
family,👨‍👩‍👧‍👦,people
mother,👩,people
father,👨,people
brother,👦,people
sister,👧,people
peace,✌️,gestures
okay,👌,gestures
victory,✌️,gestures
clap,👏,gestures
call,🤙,gestures
pray,🙏,gestures
look,👀,senses
listen,👂,senses
speak,🗣️,senses
home,🏠,places
school,🏫,places
work,💼,places
car,🚗,transport
bus,🚌,transport
time,⏰,common
day,☀️,time
night,🌙,time
money,💰,common
question,❓,common
